UNIT_NAME,UNIT_TYPE,PARKNAME
Upper Delaware Scenic and Recreational River,Scenic and Recreational River,Upper Delaware
Fort Union Trading Post National Historic Site,National Historic Site,Fort Union Trading Post
Minidoka National Historic Site,National Historic Site,Minidoka
Big Hole National Battlefield,National Battlefield,Big Hole
Canyon de Chelly National Monument,National Monument,Canyon de Chelly
Cape Cod National Seashore,National Seashore,Cape Cod
Saratoga National Historical Park,National Historical Park,Saratoga
Manhattan Project National Historical Park,National Historical Park,Manhattan Project
Mount Rainier National Park,National Park,Mount Rainier
Lincoln Boyhood National Memorial,National Memorial,Lincoln Boyhood
Frederick Law Olmsted National Historic Site,National Historic Site,Frederick Law Olmsted
Castle Mountains National Monument,National Monument,Castle Mountain
George Washington Birthplace National Monument,National Monument,George Washington Birthplace
Hamilton Grange National Memorial,National Memorial,Hamilton Grange
Hampton National Historic Site,National Historic Site,Hampton
Waco Mammoth National Monument,National Monument,Waco Mammoth
Glen Canyon National Recreation Area,National Recreation Area,Glen Canyon
Yosemite National Park,National Park,Yosemite
Tallgrass Prairie National Preserve,National Preserve,Tallgrass Prairie
Tuskegee Institute National Historic Site,National Historic Site,Tuskegee Institute
Fort Caroline National Memorial,National Memorial,Fort Caroline
Saint Croix Island International Historic Site,International Historic Site,Saint Croix Island
Fort Laramie National Historic Site,National Historic Site,Fort Laramie
Lower Saint Croix National Scenic Riverway,National Scenic Riverway,Lower Saint Croix
Prince William Forest Park,Park,Prince William Forest
Statue Of Liberty National Monument,National Monument,Statue Of Liberty
Bandelier National Monument,National Monument,Bandelier
Valles Caldera National Preserve,National Preserve,Valles Caldera
Wind Cave National Park,National Park,Wind Cave
Natchez Trace Parkway,Parkway,Natchez Trace
Colorado National Monument,National Monument,Colorado
Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,Fredericksburg & Spotsylvania
Colonial National Historical Park,National Historical Park,Colonial
Alagnak Wild River,Wild River,Alagnak
Aniakchak National Monument,National Monument,Aniakchak
Aniakchak National Preserve,National Preserve,Aniakchak
Bering Land Bridge National Preserve,National Preserve,Bering Land Bridge
Cape Krusenstern National Monument,National Monument,Cape Krusenstern
Denali National Park,National Park,Denali
Denali National Preserve,National Park,Denali
Gates of the Arctic National Park,National Park,Gates of the Arctic
Gates of the Arctic National Preserve,National Preserve,Gates of the Arctic
Glacier Bay National Park,National Park,Glacier Bay
Glacier Bay National Preserve,National Preserve,Glacier Bay
Katmai National Park,National Park,Katmai
Katmai National Preserve,National Preserve,Katmai
Kenai Fjords National Park,National Park,Kenai Fjords
Klondike Gold Rush National Historical Park,National Historical Park,Klondike Gold Rush
Kobuk Valley National Park,National Park,Kobuk Valley
Lake Clark National Park,National Park,Lake Clark
Lake Clark National Preserve,National Preserve,Lake Clark
Noatak National Preserve,National Preserve,Noatak
Sitka National Historical Park,National Historical Park,Sitka
Wrangell-St. Elias National Park,National Park,Wrangell - St Elias
Wrangell-St. Elias National Preserve,National Preserve,Wrangell - St Elias
Yukon-Charley Rivers National Preserve,National Preserve,Yukon - Charley Rivers
Richmond National Battlefield Park,National Battlefield Park,Richmond
Pullman National Monument,National Monument,Pullman
Pennsylvania Avenue National Historic Site,National Historic Site,Pennsylvania Avenue
World War I Memorial,National Memorial,World War I
Belmont-Paul Women's Equality National Monument,National Monument,Belmont-Paul Women's Equality
North Cascades National Park,National Park,North Cascades
Ross Lake National Recreation Area,National Recreation Area,Ross Lake
Stonewall National Monument,National Monument,Stonewall
Fort Monroe National Monument,National Monument,Fort Monroe
National Park of American Samoa,National Park,National Park of American Samoa
Voyageurs National Park,National Park,Voyageurs
Harpers Ferry National Historical Park,National Historical Park,Harpers Ferry
Buffalo National River,National River,Buffalo
Congaree National Park,National Park,Congaree
Homestead National Monument,National Monument,Homestead
Federal Hall National Memorial,National Memorial,Federal Hall
Hot Springs National Park,National Park,Hot Springs
Frederick Douglass National Historic Site,National Historic Site,Frederick Douglass
